Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
0,133,100,3,350,126,Bad,55,13,Yes,Yes
0,143,120,7,279,147,Bad,40,10,No,Yes
1,94,84,13,497,77,Medium,51,12,Yes,Yes
0,108,69,3,208,94,Medium,77,16,Yes,No
1,125,87,9,232,136,Good,72,10,Yes,Yes
0,132,98,2,265,97,Bad,62,12,Yes,Yes
0,132,31,0,327,131,Medium,76,16,Yes,No
0,96,94,14,384,120,Medium,36,18,No,Yes
0,128,42,0,436,118,Medium,80,11,Yes,No
1,146,62,10,310,94,Medium,30,13,No,Yes
0,133,60,10,277,129,Medium,45,18,Yes,Yes
0,140,42,0,331,131,Bad,28,15,Yes,No
0,122,88,7,36,159,Bad,28,17,Yes,Yes
1,132,68,0,264,123,Good,34,11,No,No
0,114,83,0,412,131,Bad,39,14,Yes,No
1,140,54,9,402,119,Good,41,16,No,Yes
0,110,119,0,384,97,Medium,72,14,No,Yes
1,111,58,17,407,103,Good,75,17,No,Yes
0,150,36,7,488,150,Medium,25,17,No,Yes
0,98,72,0,59,69,Medium,65,16,Yes,No
0,146,34,0,220,157,Good,51,16,Yes,No
0,111,28,0,486,111,Medium,29,12,No,No
0,143,21,5,81,160,Medium,67,12,No,Yes
0,147,58,7,100,191,Bad,27,15,Yes,Yes
0,129,89,0,425,117,Medium,45,10,Yes,No
1,93,106,12,416,55,Medium,75,15,Yes,Yes
1,104,102,13,123,110,Good,35,16,Yes,Yes
0,135,91,5,207,128,Medium,66,18,Yes,Yes
0,139,24,0,358,185,Medium,79,15,No,No
1,138,72,0,148,94,Medium,27,17,Yes,Yes
1,104,71,14,89,81,Medium,25,14,No,Yes
0,144,25,3,70,116,Medium,77,18,Yes,Yes
0,137,112,15,434,149,Bad,66,13,Yes,Yes
0,137,60,4,230,140,Bad,25,13,Yes,No
0,118,74,6,426,102,Medium,80,18,Yes,Yes
1,132,33,7,35,97,Medium,60,11,No,Yes
1,130,100,11,449,107,Medium,64,10,Yes,Yes
1,120,51,0,93,86,Medium,46,17,No,No
0,117,32,0,142,96,Bad,62,17,Yes,No
1,116,37,0,426,90,Medium,76,15,Yes,No
1,118,117,18,509,104,Medium,26,15,No,Yes
0,156,42,13,170,173,Good,74,14,Yes,Yes
0,108,26,0,408,93,Medium,56,14,No,No
1,139,70,7,71,96,Good,61,10,Yes,Yes
0,112,98,18,481,128,Medium,45,11,Yes,Yes
0,117,93,4,420,112,Bad,66,11,Yes,Yes
0,130,28,6,410,133,Bad,72,16,Yes,Yes
0,124,61,0,333,138,Medium,76,16,Yes,No
0,122,88,5,335,126,Medium,64,14,Yes,Yes
0,138,83,0,139,134,Medium,54,18,Yes,No
0,121,78,4,413,130,Bad,46,10,No,Yes
0,131,82,0,132,157,Bad,25,14,Yes,No
1,155,80,0,237,124,Medium,37,14,Yes,No
0,162,67,0,27,160,Medium,77,17,Yes,Yes
0,86,54,0,497,64,Bad,33,12,Yes,No
0,98,21,11,326,90,Bad,76,11,No,Yes
1,117,118,14,445,120,Medium,32,15,Yes,Yes
1,145,69,19,501,105,Medium,45,11,Yes,Yes
0,115,115,3,48,107,Medium,73,18,Yes,Yes
0,116,83,15,170,144,Bad,71,11,Yes,Yes
0,106,44,0,481,111,Medium,70,14,No,No
1,116,79,19,359,116,Good,58,17,Yes,Yes
0,124,44,0,125,107,Medium,80,11,Yes,No
0,110,45,9,276,125,Medium,62,14,Yes,Yes
0,107,25,0,412,82,Bad,36,14,Yes,No
0,119,33,0,245,122,Good,56,14,Yes,No
0,149,73,13,381,163,Bad,26,11,No,Yes
1,132,69,0,123,122,Medium,27,11,No,No
1,137,80,10,24,105,Good,61,15,Yes,Yes
1,115,62,11,289,129,Good,56,16,No,Yes
0,126,32,8,95,132,Medium,50,17,Yes,Yes
0,121,24,0,200,133,Good,73,13,Yes,No
1,159,80,0,362,121,Medium,26,18,Yes,No
1,136,63,0,160,94,Medium,38,12,Yes,No
0,124,46,0,199,135,Medium,52,14,No,No
0,124,25,13,87,110,Medium,57,10,Yes,Yes
1,130,30,0,391,100,Medium,26,18,Yes,No
0,120,56,20,266,90,Bad,78,18,Yes,Yes
0,123,114,0,298,151,Bad,34,16,Yes,No
0,111,52,0,12,101,Medium,61,11,Yes,Yes
0,125,67,0,86,117,Bad,65,11,Yes,No
0,139,111,5,310,132,Bad,62,13,Yes,Yes
0,124,24,5,288,122,Medium,57,12,No,Yes
0,123,81,8,198,81,Bad,80,15,Yes,Yes
1,125,62,14,477,112,Medium,80,13,Yes,Yes
0,108,38,0,251,81,Bad,72,14,No,No
0,123,36,10,467,100,Bad,74,11,No,Yes
0,129,117,8,400,101,Bad,36,10,Yes,Yes
0,121,42,4,188,118,Medium,54,15,Yes,Yes
0,120,77,15,86,132,Medium,48,18,Yes,Yes
0,116,26,6,434,115,Medium,25,17,Yes,Yes
0,128,29,5,324,159,Good,31,15,Yes,Yes
1,128,93,12,343,112,Good,73,17,No,Yes
0,123,57,0,66,105,Medium,39,11,Yes,No
0,159,69,0,438,166,Medium,46,17,Yes,No
0,111,56,0,504,110,Medium,62,16,Yes,No
1,113,33,0,14,63,Good,38,12,Yes,No
0,135,93,2,67,119,Medium,34,11,Yes,Yes
0,107,119,11,210,132,Medium,53,11,Yes,Yes
0,135,69,14,296,130,Medium,73,15,Yes,Yes
0,136,48,12,326,125,Medium,36,16,Yes,Yes
0,114,113,2,129,151,Good,40,15,No,Yes
0,121,86,10,496,145,Bad,51,10,Yes,Yes
1,122,69,7,303,105,Good,45,16,No,Yes
0,150,96,0,80,154,Good,61,11,Yes,No
0,146,26,11,261,131,Medium,39,10,Yes,Yes
0,117,118,11,429,113,Medium,67,18,No,Yes
0,116,40,0,74,97,Medium,76,15,No,No
1,107,111,14,400,103,Medium,41,11,No,Yes
0,118,70,0,106,89,Bad,39,17,Yes,No
1,113,66,16,322,74,Good,76,15,Yes,Yes
1,123,84,0,74,89,Good,59,10,Yes,No
1,148,76,3,126,99,Good,60,11,Yes,Yes
0,118,35,14,502,137,Medium,79,10,No,Yes
0,118,83,13,276,104,Bad,75,10,Yes,Yes
1,135,40,17,497,96,Medium,54,17,No,Yes
1,116,78,1,158,99,Medium,45,11,Yes,Yes
0,99,93,0,198,87,Medium,57,16,Yes,Yes
1,133,52,16,290,99,Medium,43,11,Yes,Yes
1,123,98,12,408,134,Good,29,10,Yes,Yes
1,115,29,26,394,132,Medium,33,13,Yes,Yes
0,131,32,1,85,133,Medium,48,12,Yes,Yes
0,138,92,0,13,120,Bad,61,12,Yes,No
1,126,80,19,436,126,Medium,52,10,Yes,Yes
1,131,111,13,33,80,Bad,68,18,Yes,Yes
1,175,65,29,419,166,Medium,53,12,Yes,Yes
0,146,68,12,328,132,Bad,51,14,Yes,Yes
0,137,117,5,337,135,Bad,38,10,Yes,Yes
0,133,33,10,333,129,Good,71,14,Yes,Yes
0,131,21,8,220,171,Good,29,14,Yes,Yes
1,122,36,5,369,72,Good,35,10,Yes,Yes
0,142,30,0,472,136,Good,80,15,No,No
1,116,72,10,456,130,Good,41,14,No,Yes
0,136,70,12,171,152,Medium,44,18,Yes,Yes
0,123,39,5,499,98,Medium,34,15,Yes,No
1,140,50,10,300,139,Good,60,15,Yes,Yes
1,107,105,18,428,103,Medium,34,12,Yes,Yes
0,136,65,4,133,150,Bad,53,13,Yes,Yes
1,144,69,11,131,104,Medium,47,11,Yes,Yes
0,133,30,0,152,122,Medium,53,17,Yes,No
1,100,54,9,433,89,Good,45,12,Yes,Yes
0,122,59,0,501,112,Bad,32,14,No,No
1,135,63,15,213,134,Medium,32,10,Yes,Yes
0,106,33,20,354,104,Medium,61,12,Yes,Yes
0,136,60,7,303,147,Medium,41,10,Yes,Yes
0,120,70,15,464,110,Medium,72,15,Yes,Yes
0,138,35,6,60,143,Bad,28,18,Yes,No
1,130,38,0,283,102,Medium,80,15,Yes,No
0,112,24,0,164,101,Medium,45,11,Yes,No
0,98,120,0,268,93,Medium,72,10,No,No
0,137,102,13,422,118,Medium,71,10,No,Yes
0,117,42,10,371,121,Bad,26,14,Yes,Yes
1,138,80,0,108,126,Good,70,13,No,Yes
0,121,68,0,279,149,Good,79,12,Yes,No
1,132,107,0,144,125,Medium,33,13,No,No
0,96,39,0,161,112,Good,27,14,No,No
1,111,101,17,266,91,Medium,63,17,No,Yes
1,133,103,14,288,122,Good,61,17,Yes,Yes
0,133,31,1,80,145,Medium,42,18,Yes,Yes
0,130,100,0,306,146,Good,42,11,Yes,No
0,142,109,0,111,164,Good,72,12,Yes,No
1,103,73,3,276,72,Medium,34,15,Yes,Yes
0,123,96,10,71,118,Bad,69,11,Yes,Yes
0,130,62,11,396,130,Bad,66,14,Yes,Yes
1,118,86,7,265,114,Good,52,15,No,Yes
1,131,25,10,183,104,Medium,56,15,No,Yes
1,111,75,1,377,108,Good,25,12,Yes,No
1,122,21,16,488,131,Good,30,14,Yes,Yes
0,154,30,0,122,162,Medium,57,17,No,No
1,95,106,0,256,53,Good,52,17,Yes,No
1,135,100,22,463,122,Medium,36,14,Yes,Yes
0,126,41,22,403,119,Bad,42,12,Yes,Yes
1,152,81,0,191,126,Medium,54,16,Yes,No
0,121,50,0,508,98,Medium,65,11,No,No
0,137,71,0,402,116,Medium,78,17,Yes,No
1,131,47,7,90,118,Medium,47,12,Yes,Yes
0,132,46,4,206,124,Medium,73,11,Yes,No
1,141,60,19,319,92,Good,44,11,Yes,Yes
0,132,61,0,263,125,Medium,41,12,No,No
0,125,111,0,404,107,Bad,54,15,Yes,No
0,124,65,21,496,151,Bad,77,13,Yes,Yes
1,98,117,0,76,68,Medium,63,10,Yes,No
1,123,37,15,348,112,Good,28,12,Yes,Yes
0,152,116,0,170,160,Medium,39,16,Yes,No
1,135,89,11,245,78,Bad,79,16,Yes,Yes
1,128,42,8,328,107,Medium,35,12,Yes,Yes
0,153,63,0,49,124,Bad,56,16,Yes,No
0,129,42,13,315,130,Bad,34,13,Yes,Yes
0,109,51,10,26,120,Medium,30,17,No,Yes
0,130,58,19,366,139,Bad,33,16,Yes,Yes
1,138,108,17,203,128,Good,33,14,Yes,Yes
0,139,23,3,37,120,Medium,55,11,No,Yes
1,134,37,0,27,120,Good,49,16,Yes,Yes
